iter	Passed	Remaining
1146	153310	381337
1147	153443	381202
1148	153574	381061
1149	153709	380932
1150	153843	380799
1151	153976	380663
1152	154108	380526
1153	154239	380387
1154	154375	380257
1155	154505	380115
1156	154639	379983
1157	154772	379847
1158	154905	379712
1159	155044	379590
1160	155181	379465
1161	155314	379331
1162	155453	379210
1163	155586	379074
1164	155722	378946
1165	155856	378813
1166	155993	378687
1167	156127	378556
1168	156263	378427
1169	156400	378301
1170	156534	378169
1171	156670	378042
1172	156807	377914
1173	156940	377780
1174	157078	377656
1175	157210	377519
1176	157344	377387
1177	157475	377246
1178	157613	377123
1179	157749	376993
1180	157880	376855
1181	158013	376718
1182	158149	376591
1183	158284	376460
1184	158416	376322
1185	158554	376198
1186	158690	376070
1187	158824	375938
1188	158959	375806
1189	159094	375677
1190	159229	375546
1191	159362	375412
1192	159497	375279
1193	159629	375142
1194	159766	375017
1195	159900	374884
1196	160036	374755
1197	160171	374624
1198	160305	374490
1199	160438	374356
1200	160575	374229
1201	160708	374094
1202	160838	373953
1203	160973	373821
1204	161112	373701
1205	161248	373571
1206	161382	373440
1207	161516	373306
1208	161658	373192
1209	161792	373058
1210	161929	372932
1211	162065	372803
1212	162199	372670
1213	162336	372544
1214	162468	372407
1215	162600	372268
1216	162735	372138
1217	162869	372005
1218	163004	371875
1219	163135	371734
1220	163269	371601
1221	163400	371462
1222	163535	371330
1223	163668	371195
1224	163806	371071
1225	163936	370929
1226	164071	370800
1227	164208	370671
1228	164341	370536
1229	164471	370395
1230	164604	370260
1231	164738	370126
1232	164872	369993
1233	165006	369861
1234	165141	369728
1235	165272	369590
1236	165405	369455
1237	165535	369313
1238	165670	369181
1239	165802	369045
1240	165932	368902
1241	166067	368771
1242	166200	368636
1243	166335	368505
1244	166473	368381
1245	166610	368253
1246	166743	368119
1247	166874	367978
1248	167009	367848
1249	167145	367719
1250	167282	367592
1251	167415	367458
1252	167549	367324
1253	167680	367184
1254	167814	367052
1255	167948	366919
1256	168081	366783
1257	168215	366649
1258	168349	366517
1259	168481	366380
1260	168615	366247
1261	168750	366115
1262	168886	365988
1263	169021	365856
1264	169154	365720
1265	169284	365580
1266	169417	365444
1267	169548	365305
1268	169681	365169
1269	169816	365038
1270	169950	364906
1271	170085	364774
1272	170221	364646
1273	170354	364511
1274	170492	364386
1275	170623	364247
1276	170761	364121
1277	170893	363983
1278	171023	363843
1279	171155	363704
1280	171290	363574
1281	171422	363437
1282	171555	363301
1283	171688	363166
1284	171820	363029
1285	171954	362895
1286	172087	362761
1287	172219	362622
1288	172353	362491
1289	172487	362358
1290	172625	362233
1291	172759	362098
1292	172889	361958
1293	173021	361820
1294	173154	361685
1295	173289	361553
1296	173423	361421
1297	173557	361288
1298	173689	361151
1299	173824	361019
1300	173963	360896
1301	174094	360758
1302	174225	360618
1303	174360	360487
1304	174490	360345
1305	174624	360213
1306	174757	360078
1307	174888	359938
1308	175020	359800
1309	175152	359664
1310	175284	359527
1311	175418	359394
1312	175552	359261
1313	175684	359123
1314	175817	358987
1315	175948	358848
1316	176078	358707
1317	176210	358570
1318	176347	358444
1319	176491	358330
1320	176633	358215
1321	176765	358076
1322	176898	357941
1323	177045	357835
1324	177180	357704
1325	177313	357568
1326	177448	357436
1327	177583	357307
1328	177721	357180
1329	177855	357047
1330	177992	356920
1331	178124	356784
1332	178258	356650
1333	178395	356523
1334	178529	356389
1335	178664	356259
1336	178799	356128
1337	178932	355993
1338	179065	355858
1339	179200	355725
1340	179337	355599
1341	179473	355469
1342	179609	355341
1343	179745	355211
1344	179881	355082
1345	180014	354947
1346	180151	354819
1347	180286	354687
1348	180421	354557
1349	180554	354422
1350	180691	354293
1351	180823	354156
1352	180956	354021
1353	181090	353888
1354	181227	353761
1355	181361	353628
1356	181494	353492
1357	181627	353357
1358	181762	353225
1359	181896	353093
1360	182032	352963
1361	182165	352827
1362	182300	352696
1363	182434	352564
1364	182572	352437
1365	182708	352308
1366	182842	352175
1367	182976	352042
1368	183113	351915
1369	183246	351779
1370	183378	351643
1371	183516	351516
1372	183651	351384
1373	183784	351251
1374	183922	351124
1375	184058	350994
1376	184194	350865
1377	184329	350734
1378	184466	350606
1379	184600	350473
1380	184737	350346
1381	184871	350212
1382	185006	350081
1383	185142	349951
1384	185280	349825
1385	185415	349693
1386	185550	349563
1387	185685	349431
1388	185817	349293
1389	185949	349156
1390	186083	349024
1391	186214	348884
1392	186352	348758
1393	186488	348628
1394	186621	348493
1395	186756	348362
1396	186893	348234
1397	187027	348101
1398	187160	347966
1399	187293	347830
1400	187429	347700
1401	187561	347563
1402	187699	347438
1403	187837	347312
1404	187972	347180
1405	188107	347048
1406	188244	346921
1407	188378	346787
1408	188515	346659
1409	188650	346528
1410	188788	346401
1411	188924	346272
1412	189057	346136
1413	189192	346005
1414	189325	345869
1415	189457	345734
1416	189591	345600
1417	189725	345467
1418	189858	345330
